date,home_team,away_team,home_score,away_score,is_neutral_site,tournament
2019-03-21,Northern Ireland,Estonia,2.0,0.0,False,UEFA Euro qualification
2019-03-21,Netherlands,Belarus,4.0,0.0,False,UEFA Euro qualification
2019-03-21,Croatia,Azerbaijan,2.0,1.0,False,UEFA Euro qualification
2019-03-21,Slovakia,Hungary,2.0,0.0,False,UEFA Euro qualification
2019-03-21,Austria,Poland,0.0,1.0,False,UEFA Euro qualification
2019-03-21,North Macedonia,Latvia,3.0,1.0,False,UEFA Euro qualification
2019-03-21,Israel,Slovenia,1.0,1.0,False,UEFA Euro qualification
2019-03-21,Cyprus,San Marino,5.0,0.0,False,UEFA Euro qualification
2019-03-21,Belgium,Russia,3.0,1.0,False,UEFA Euro qualification
2019-03-21,Kazakhstan,Scotland,3.0,0.0,False,UEFA Euro qualification
2019-03-22,Bulgaria,Montenegro,1.0,1.0,False,UEFA Euro qualification
2019-03-22,England,Czech Republic,5.0,0.0,False,UEFA Euro qualification
2019-03-22,Portugal,Ukraine,0.0,0.0,False,UEFA Euro qualification
2019-03-22,Luxembourg,Lithuania,2.0,1.0,False,UEFA Euro qualification
2019-03-22,Albania,Turkey,0.0,2.0,False,UEFA Euro qualification
2019-03-22,Andorra,Iceland,0.0,2.0,False,UEFA Euro qualification
2019-03-22,Moldova,France,1.0,4.0,False,UEFA Euro qualification
2019-03-23,Georgia,Switzerland,0.0,2.0,False,UEFA Euro qualification
2019-03-23,Gibraltar,Republic of Ireland,0.0,1.0,False,UEFA Euro qualification
2019-03-23,Malta,Faroe Islands,2.0,1.0,False,UEFA Euro qualification
2019-03-23,Sweden,Romania,2.0,1.0,False,UEFA Euro qualification
2019-03-23,Spain,Norway,2.0,1.0,False,UEFA Euro qualification
2019-03-23,Bosnia and Herzegovina,Armenia,2.0,1.0,False,UEFA Euro qualification
2019-03-23,Italy,Finland,2.0,0.0,False,UEFA Euro qualification
2019-03-23,Liechtenstein,Greece,0.0,2.0,False,UEFA Euro qualification
2019-03-24,Northern Ireland,Belarus,2.0,1.0,False,UEFA Euro qualification
2019-03-24,Netherlands,Germany,2.0,3.0,False,UEFA Euro qualification
2019-03-24,Wales,Slovakia,1.0,0.0,False,UEFA Euro qualification
2019-03-24,Hungary,Croatia,2.0,1.0,False,UEFA Euro qualification
2019-03-24,Israel,Austria,4.0,2.0,False,UEFA Euro qualification
2019-03-24,Poland,Latvia,2.0,0.0,False,UEFA Euro qualification
2019-03-24,Slovenia,North Macedonia,1.0,1.0,False,UEFA Euro qualification
2019-03-24,San Marino,Scotland,0.0,2.0,False,UEFA Euro qualification
2019-03-24,Kazakhstan,Russia,0.0,4.0,False,UEFA Euro qualification
