date,home_team,away_team,home_score,away_score,is_neutral_site,tournament
2018-01-07,Estonia,Sweden,1.0,1.0,True,Friendly
2018-01-11,Denmark,Sweden,0.0,1.0,True,Friendly
2018-01-11,Indonesia,Iceland,0.0,6.0,False,Friendly
2018-01-11,Jordan,Finland,1.0,2.0,True,Friendly
2018-01-14,Indonesia,Iceland,1.0,4.0,False,Friendly
2018-01-27,Moldova,South Korea,0.0,1.0,True,Friendly
2018-01-28,United States,Bosnia and Herzegovina,0.0,0.0,False,Friendly
2018-01-28,Yorkshire,Ellan Vannin,1.0,1.0,False,Friendly
2018-01-30,Azerbaijan,Moldova,0.0,0.0,True,Friendly
2018-01-30,Jamaica,South Korea,2.0,2.0,True,Friendly
2018-01-31,Mexico,Bosnia and Herzegovina,1.0,0.0,True,Friendly
2018-02-03,Latvia,South Korea,0.0,1.0,True,Friendly
2018-02-26,Saudi Arabia,Moldova,3.0,0.0,False,Friendly
2018-02-28,Iraq,Saudi Arabia,4.0,1.0,False,Friendly
2018-03-17,Iran,Sierra Leone,4.0,0.0,False,Friendly
2018-03-21,Andorra,Liechtenstein,1.0,0.0,True,Friendly
2018-03-21,Antigua and Barbuda,Bermuda,3.0,2.0,False,Friendly
2018-03-21,Iraq,Qatar,2.0,3.0,False,Friendly
2018-03-21,Jordan,Kuwait,1.0,0.0,False,Friendly
2018-03-21,Laos,Cambodia,0.0,1.0,False,Friendly
2018-03-21,Madagascar,Togo,0.0,0.0,True,Friendly
2018-03-21,South Africa,Angola,1.0,1.0,True,Friendly
2018-03-21,Tahiti,New Caledonia,0.0,0.0,False,Friendly
2018-03-21,Zambia,Zimbabwe,2.0,2.0,False,Friendly
2018-03-22,Algeria,Tanzania,4.0,1.0,False,Friendly
2018-03-22,Bahrain,Palestine,0.0,0.0,False,Friendly
2018-03-22,Belize,Grenada,4.0,2.0,False,Friendly
2018-03-22,Burkina Faso,Guinea-Bissau,2.0,0.0,True,Friendly
2018-03-22,China,Wales,0.0,6.0,False,Friendly
2018-03-22,Denmark,Panama,1.0,0.0,False,Friendly
2018-03-22,Dominican Republic,Turks and Caicos Islands,4.0,0.0,False,Friendly
2018-03-22,Faroe Islands,Latvia,1.0,1.0,True,Friendly
2018-03-22,Macau,Mauritius,0.0,1.0,False,Friendly
2018-03-22,Malaysia,Mongolia,2.0,2.0,False,Friendly
2018-03-22,Malta,Luxembourg,0.0,1.0,False,Friendly
2018-03-22,Nicaragua,Cuba,3.0,1.0,False,Friendly
2018-03-22,Philippines,Fiji,3.0,2.0,False,Friendly
2018-03-22,Slovakia,United Arab Emirates,2.0,1.0,True,Friendly
2018-03-22,Thailand,Gabon,0.0,0.0,False,Friendly
2018-03-23,Austria,Slovenia,3.0,0.0,False,Friendly
2018-03-23,Azerbaijan,Belarus,0.0,1.0,False,Friendly
2018-03-23,Bulgaria,Bosnia and Herzegovina,0.0,1.0,False,Friendly
2018-03-23,Curaçao,Bolivia,1.0,1.0,False,Friendly
2018-03-23,Cyprus,Montenegro,0.0,0.0,False,Friendly
2018-03-23,Finland,North Macedonia,0.0,0.0,True,Friendly
2018-03-23,France,Colombia,2.0,3.0,False,Friendly
2018-03-23,Gambia,Central African Republic,1.0,1.0,False,Friendly
2018-03-23,Germany,Spain,1.0,1.0,False,Friendly
2018-03-23,Greece,Switzerland,0.0,1.0,False,Friendly
2018-03-23,Guadeloupe,Trinidad and Tobago,0.0,1.0,False,Friendly
2018-03-23,Hungary,Kazakhstan,2.0,3.0,False,Friendly
2018-03-23,Italy,Argentina,0.0,2.0,True,Friendly
2018-03-23,Japan,Mali,1.0,1.0,True,Friendly
2018-03-23,Mexico,Iceland,3.0,0.0,True,Friendly
2018-03-23,Netherlands,England,0.0,1.0,False,Friendly
2018-03-23,Norway,Australia,4.0,1.0,False,Friendly
2018-03-23,Peru,Croatia,2.0,0.0,True,Friendly
2018-03-23,Poland,Nigeria,0.0,1.0,False,Friendly
2018-03-23,Portugal,Egypt,2.0,1.0,True,Friendly
2018-03-23,Russia,Brazil,0.0,3.0,False,Friendly
2018-03-23,Scotland,Costa Rica,0.0,1.0,False,Friendly
2018-03-23,Senegal,Uzbekistan,1.0,1.0,True,Friendly
2018-03-23,Serbia,Morocco,1.0,2.0,True,Friendly
2018-03-23,Singapore,Maldives,3.0,2.0,False,Friendly
2018-03-23,Tunisia,Iran,1.0,0.0,False,Friendly
2018-03-23,Turkey,Republic of Ireland,1.0,0.0,False,Friendly
2018-03-23,Ukraine,Saudi Arabia,1.0,1.0,True,Friendly
2018-03-23,Uruguay,Czech Republic,2.0,0.0,True,Friendly
2018-03-24,Angola,Zimbabwe,2.0,2.0,True,Friendly
2018-03-24,Armenia,Estonia,0.0,0.0,False,Friendly
2018-03-24,Botswana,Lesotho,1.0,0.0,False,Friendly
2018-03-24,Canada,New Zealand,1.0,0.0,True,Friendly
2018-03-24,Comoros,Kenya,2.0,2.0,True,Friendly
2018-03-24,Georgia,Lithuania,4.0,0.0,False,Friendly
2018-03-24,Israel,Romania,1.0,2.0,False,Friendly
2018-03-24,Ivory Coast,Togo,2.0,2.0,True,Friendly
2018-03-24,Kosovo,Madagascar,1.0,0.0,True,Friendly
2018-03-24,Mauritania,Guinea,2.0,0.0,False,Friendly
2018-03-24,Northern Ireland,South Korea,2.0,1.0,False,Friendly
2018-03-24,Qatar,Syria,2.0,2.0,True,Friendly
2018-03-24,Sweden,Chile,1.0,2.0,False,Friendly
2018-03-24,Tahiti,New Caledonia,4.0,3.0,False,Friendly
2018-03-24,Uganda,São Tomé and Príncipe,3.0,1.0,False,Friendly
2018-03-24,Zambia,South Africa,0.0,2.0,False,Friendly
2018-03-25,Barbados,Bermuda,0.0,0.0,False,Friendly
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2.0,1.0,False,Friendly
2018-03-25,Faroe Islands,Liechtenstein,3.0,0.0,True,Friendly
2018-03-25,Gibraltar,Latvia,1.0,0.0,False,Friendly
2018-03-25,Jamaica,Antigua and Barbuda,1.0,1.0,False,Friendly
2018-03-25,Kuwait,Cameroon,1.0,3.0,False,Friendly
2018-03-25,Martinique,Trinidad and Tobago,0.0,0.0,False,Friendly
2018-03-25,Nicaragua,Cuba,3.0,3.0,False,Friendly
2018-03-25,Thailand,Slovakia,2.0,3.0,False,Friendly
2018-03-25,Yorkshire,Chagos Islands,6.0,0.0,False,Friendly
2018-03-26,Albania,Norway,0.0,1.0,False,Friendly
2018-03-26,Bulgaria,Kazakhstan,2.0,1.0,True,Friendly
2018-03-26,China,Czech Republic,1.0,4.0,False,Friendly
2018-03-26,Curaçao,Bolivia,1.0,0.0,False,Friendly
2018-03-26,Finland,Malta,5.0,0.0,True,Friendly
2018-03-26,Portugal,Netherlands,0.0,3.0,True,Friendly
2018-03-26,Wales,Uruguay,0.0,1.0,True,Friendly
2018-03-27,Algeria,Iran,1.0,2.0,True,Friendly
2018-03-27,Armenia,Lithuania,0.0,1.0,False,Friendly
2018-03-27,Australia,Colombia,0.0,0.0,True,Friendly
2018-03-27,Azerbaijan,North Macedonia,1.0,1.0,True,Friendly
2018-03-27,Belgium,Saudi Arabia,4.0,0.0,False,Friendly
2018-03-27,Bosnia and Herzegovina,Senegal,0.0,0.0,True,Friendly
2018-03-27,Central African Republic,Kenya,3.0,2.0,True,Friendly
2018-03-27,Denmark,Chile,0.0,0.0,False,Friendly
2018-03-27,England,Italy,1.0,1.0,False,Friendly
2018-03-27,Georgia,Estonia,2.0,0.0,False,Friendly
2018-03-27,Germany,Brazil,0.0,1.0,False,Friendly
2018-03-27,Greece,Egypt,1.0,0.0,True,Friendly
2018-03-27,Hungary,Scotland,0.0,1.0,False,Friendly
2018-03-27,Iraq,Syria,1.0,1.0,False,Friendly
2018-03-27,Kosovo,Burkina Faso,2.0,0.0,True,Friendly
2018-03-27,Laos,Bangladesh,2.0,2.0,False,Friendly
2018-03-27,Luxembourg,Austria,0.0,4.0,False,Friendly
2018-03-27,Mexico,Croatia,0.0,1.0,True,Friendly
2018-03-27,Moldova,Ivory Coast,1.0,2.0,True,Friendly
2018-03-27,Mongolia,Mauritius,0.0,2.0,False,Friendly
2018-03-27,Montenegro,Turkey,2.0,2.0,False,Friendly
2018-03-27,Morocco,Uzbekistan,2.0,0.0,False,Friendly
2018-03-27,Namibia,Lesotho,2.0,1.0,False,Friendly
2018-03-27,Peru,Iceland,3.0,1.0,True,Friendly
2018-03-27,Poland,South Korea,3.0,2.0,False,Friendly
2018-03-27,Romania,Sweden,1.0,0.0,False,Friendly
2018-03-27,Russia,France,1.0,3.0,False,Friendly
2018-03-27,Serbia,Nigeria,2.0,0.0,True,Friendly
2018-03-27,Seychelles,Eswatini,0.0,0.0,False,Friendly
2018-03-27,Slovenia,Belarus,0.0,2.0,False,Friendly
2018-03-27,Spain,Argentina,6.0,1.0,False,Friendly
2018-03-27,Switzerland,Panama,6.0,0.0,False,Friendly
2018-03-27,Tanzania,DR Congo,2.0,0.0,False,Friendly
2018-03-27,Tunisia,Costa Rica,1.0,0.0,True,Friendly
2018-03-27,Uganda,Malawi,0.0,0.0,False,Friendly
