date,home_team,away_team,home_score,away_score,is_neutral_site,tournament
2018-09-06,Germany,France,0.0,0.0,False,UEFA Nations League
2018-09-06,Czech Republic,Ukraine,1.0,2.0,False,UEFA Nations League
2018-09-06,Wales,Republic of Ireland,4.0,1.0,False,UEFA Nations League
2018-09-06,Norway,Cyprus,2.0,0.0,False,UEFA Nations League
2018-09-06,Slovenia,Bulgaria,1.0,2.0,False,UEFA Nations League
2018-09-06,Kazakhstan,Georgia,0.0,2.0,False,UEFA Nations League
2018-09-06,Latvia,Andorra,0.0,0.0,False,UEFA Nations League
2018-09-06,Armenia,Liechtenstein,2.0,1.0,False,UEFA Nations League
2018-09-06,Gibraltar,North Macedonia,0.0,2.0,False,UEFA Nations League
2018-09-06,Dominica,Suriname,0.0,0.0,True,CONCACAF Nations League qualification
2018-09-06,Guyana,Barbados,3.0,0.0,False,CONCACAF Nations League qualification
2018-09-07,Italy,Poland,1.0,1.0,False,UEFA Nations League
2018-09-07,Turkey,Russia,1.0,2.0,False,UEFA Nations League
2018-09-07,Albania,Israel,1.0,0.0,False,UEFA Nations League
2018-09-07,Lithuania,Serbia,0.0,1.0,False,UEFA Nations League
2018-09-07,Romania,Montenegro,0.0,0.0,False,UEFA Nations League
2018-09-07,Faroe Islands,Malta,3.0,1.0,False,UEFA Nations League
2018-09-07,Azerbaijan,Kosovo,0.0,0.0,False,UEFA Nations League
2018-09-07,Anguilla,French Guiana,0.0,5.0,False,CONCACAF Nations League qualification
2018-09-07,Antigua and Barbuda,Saint Lucia,0.0,3.0,False,CONCACAF Nations League qualification
2018-09-07,Belize,Bahamas,4.0,0.0,False,CONCACAF Nations League qualification
2018-09-08,Switzerland,Iceland,6.0,0.0,False,UEFA Nations League
2018-09-08,England,Spain,1.0,2.0,False,UEFA Nations League
2018-09-08,Northern Ireland,Bosnia and Herzegovina,1.0,2.0,False,UEFA Nations League
2018-09-08,Finland,Hungary,1.0,0.0,False,UEFA Nations League
2018-09-08,Estonia,Greece,0.0,1.0,False,UEFA Nations League
2018-09-08,Belarus,San Marino,5.0,0.0,False,UEFA Nations League
2018-09-08,Luxembourg,Moldova,4.0,0.0,False,UEFA Nations League
